No.链接,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
https://finviz.com/quote.ashx?t=AAL&ty=c&p=d&b=1,AAL,-3.77%,-1.74%,24.13%,34.41%,-45.07%,0.32%,3.20%,3.77%,3.6,76.48M,0.51,15.82,-0.06%,"38,916,074"
https://finviz.com/quote.ashx?t=ACB&ty=c&p=d&b=1,ACB,-10.95%,19.13%,119.59%,-1.21%,-57.13%,28.16%,7.84%,8.45%,-,42.86M,0.68,10.65,-4.66%,"28,936,914"
https://finviz.com/quote.ashx?t=ADAP&ty=c&p=d&b=1,ADAP,-8.20%,13.13%,23.62%,-39.85%,38.96%,3.90%,8.44%,8.47%,2.4,1.79M,0.32,5.6,3.32%,"576,675"
https://finviz.com/quote.ashx?t=ADVM&ty=c&p=d&b=1,ADVM,12.00%,4.86%,14.64%,-22.47%,15.03%,23.52%,7.51%,7.24%,2.1,1.02M,0.63,13.39,-0.22%,"647,436"
https://finviz.com/quote.ashx?t=AEO&ty=c&p=d&b=1,AEO,4.66%,25.22%,75.94%,139.92%,65.28%,20.98%,4.66%,3.87%,2.3,4.97M,2.47,24.28,1.46%,"12,252,530"
https://finviz.com/quote.ashx?t=AFIB&ty=c&p=d&b=1,AFIB,-4.91%,-8.53%,3.59%,-,-,-9.93%,7.87%,7.85%,2,169.63K,0.81,25.95,-0.19%,"138,163"
https://finviz.com/quote.ashx?t=AG&ty=c&p=d&b=1,AG,10.76%,6.63%,25.90%,5.03%,37.39%,4.17%,6.70%,4.91%,2.3,6.57M,2.76,14,3.40%,"18,160,025"
https://finviz.com/quote.ashx?t=AKBA&ty=c&p=d&b=1,AKBA,5.99%,10.16%,1.97%,-71.95%,-60.79%,20.00%,5.91%,5.31%,2.1,6.34M,1.03,3.36,6.67%,"6,512,365"
https://finviz.com/quote.ashx?t=AKTS&ty=c&p=d&b=1,AKTS,14.53%,37.85%,100.39%,89.99%,78.51%,25.67%,8.02%,7.31%,1.8,806.64K,0.85,15.37,1.65%,"686,441"
https://finviz.com/quote.ashx?t=ALLO&ty=c&p=d&b=1,ALLO,-1.00%,12.06%,-10.79%,-22.03%,24.43%,21.87%,5.84%,5.35%,1.9,911.97K,0.5,30.76,-1.85%,"458,511"
https://finviz.com/quote.ashx?t=AMC&ty=c&p=d&b=1,AMC,61.01%,30.97%,17.00%,-13.55%,-48.38%,65.57%,20.68%,10.94%,3.4,36.81M,7.22,3.51,17.79%,"265,714,725"
https://finviz.com/quote.ashx?t=AMCX&ty=c&p=d&b=1,AMCX,14.97%,55.82%,101.47%,98.31%,27.10%,38.05%,7.64%,5.46%,3.1,1.17M,1.63,49.38,14.60%,"1,914,923"
https://finviz.com/quote.ashx?t=AMRS&ty=c&p=d&b=1,AMRS,-0.57%,114.23%,279.20%,147.38%,257.04%,68.26%,10.93%,13.20%,1.5,4.76M,0.85,10.39,3.33%,"4,020,610"
https://finviz.com/quote.ashx?t=AMWL&ty=c&p=d&b=1,AMWL,2.72%,8.62%,-9.76%,-,-,16.38%,6.49%,5.89%,2.6,3.40M,0.7,29.48,1.10%,"2,388,755"
https://finviz.com/quote.ashx?t=ANGI&ty=c&p=d&b=1,ANGI,2.38%,1.05%,12.74%,-15.33%,38.67%,-5.42%,3.73%,4.09%,2,2.72M,0.46,12.48,-0.16%,"1,254,392"
https://finviz.com/quote.ashx?t=API&ty=c&p=d&b=1,API,18.68%,5.48%,10.56%,0.63%,-,17.24%,9.97%,7.48%,1.8,1.20M,1.32,46.38,1.07%,"1,591,103"
https://finviz.com/quote.ashx?t=APLS&ty=c&p=d&b=1,APLS,-14.78%,-14.93%,39.27%,55.90%,8.02%,-20.14%,5.58%,5.15%,1.8,702.64K,1.52,45.68,-4.89%,"1,068,369"
https://finviz.com/quote.ashx?t=APPN&ty=c&p=d&b=1,APPN,17.67%,29.41%,156.09%,313.84%,321.98%,26.38%,7.69%,7.76%,3,1.48M,1.18,204.85,11.08%,"1,747,610"
https://finviz.com/quote.ashx?t=AR&ty=c&p=d&b=1,AR,-8.38%,20.83%,76.92%,131.60%,238.58%,22.39%,7.86%,7.86%,2.8,9.84M,0.63,6.67,2.30%,"6,215,151"
https://finviz.com/quote.ashx?t=ARCH&ty=c&p=d&b=1,ARCH,0.61%,18.42%,37.35%,73.82%,-14.50%,16.79%,5.42%,5.53%,2.2,528.33K,0.43,51.12,1.25%,"227,792"
https://finviz.com/quote.ashx?t=ARVN&ty=c&p=d&b=1,ARVN,-4.13%,18.35%,316.49%,144.73%,65.34%,-0.99%,5.12%,6.35%,1.6,1.20M,0.39,84.09,-0.28%,"471,058"
https://finviz.com/quote.ashx?t=ASND&ty=c&p=d&b=1,ASND,-0.83%,-9.23%,2.97%,14.41%,17.27%,-3.67%,4.61%,4.13%,1.5,163.74K,1.21,160.66,3.75%,"198,220"
https://finviz.com/quote.ashx?t=ATRA&ty=c&p=d&b=1,ATRA,-2.18%,-18.04%,34.60%,32.00%,31.34%,-6.06%,5.97%,5.29%,2.2,951.35K,0.5,18.44,0.60%,"478,052"
https://finviz.com/quote.ashx?t=ATUS&ty=c&p=d&b=1,ATUS,4.85%,2.29%,28.54%,49.75%,25.20%,-4.62%,2.78%,2.45%,2,6.94M,0.6,36.12,0.08%,"4,134,507"
https://finviz.com/quote.ashx?t=AWH&ty=c&p=d&b=1,AWH,-7.99%,-9.65%,62.77%,37.70%,663.06%,-10.73%,7.93%,7.17%,1,595.76K,0.77,5.99,1.53%,"459,839"
https://finviz.com/quote.ashx?t=AXDX&ty=c&p=d&b=1,AXDX,0.00%,15.53%,-11.13%,-46.98%,-47.36%,15.83%,7.43%,6.07%,2.4,285.66K,2.63,8.78,3.17%,"751,299"
https://finviz.com/quote.ashx?t=AXNX&ty=c&p=d&b=1,AXNX,7.20%,18.55%,22.16%,41.73%,82.18%,13.28%,5.14%,4.88%,1.6,516.53K,1.42,56.55,4.12%,"734,677"
https://finviz.com/quote.ashx?t=BAND&ty=c&p=d&b=1,BAND,5.02%,-6.80%,-1.04%,22.95%,133.36%,10.13%,3.68%,4.90%,1.8,500.13K,0.77,169.23,0.83%,"387,459"
https://finviz.com/quote.ashx?t=BBBY&ty=c&p=d&b=1,BBBY,10.50%,56.85%,23.61%,197.20%,88.05%,70.10%,11.82%,8.54%,2.6,9.29M,4.18,30.21,12.43%,"38,825,492"
https://finviz.com/quote.ashx?t=BBIO&ty=c&p=d&b=1,BBIO,-0.36%,5.67%,77.65%,126.47%,102.04%,-2.29%,4.79%,5.16%,1.7,641.42K,0.92,69.48,4.58%,"587,804"
https://finviz.com/quote.ashx?t=BCEL&ty=c&p=d&b=1,BCEL,-1.63%,-4.19%,8.25%,3.14%,-6.97%,-6.56%,5.86%,5.87%,1.6,163.40K,1.67,15.09,1.28%,"273,356"
https://finviz.com/quote.ashx?t=BCRX&ty=c&p=d&b=1,BCRX,7.22%,10.96%,156.55%,101.53%,207.00%,23.62%,6.47%,6.45%,2.1,6.77M,1.34,9.21,0.71%,"9,060,108"
https://finviz.com/quote.ashx?t=BEST&ty=c&p=d&b=1,BEST,8.61%,-5.42%,-18.05%,-46.71%,-64.14%,11.27%,10.00%,8.36%,2.4,5.52M,0.86,2.27,-6.58%,"4,765,986"
https://finviz.com/quote.ashx?t=BGS&ty=c&p=d&b=1,BGS,7.24%,-0.66%,7.21%,12.76%,83.90%,8.37%,3.25%,3.76%,3,1.25M,0.67,30.05,1.59%,"832,798"
https://finviz.com/quote.ashx?t=BIG&ty=c&p=d&b=1,BIG,-2.61%,13.64%,-2.49%,21.78%,89.98%,18.38%,5.38%,5.08%,2.7,1.44M,0.73,50.82,4.27%,"1,059,789"
https://finviz.com/quote.ashx?t=BIGC&ty=c&p=d&b=1,BIGC,10.06%,1.16%,-25.62%,-,-,11.07%,7.24%,6.79%,3,2.26M,1.47,71.25,-0.10%,"3,311,578"
https://finviz.com/quote.ashx?t=BILI&ty=c&p=d&b=1,BILI,8.55%,52.67%,196.17%,226.22%,494.18%,56.03%,7.21%,7.05%,1.7,5.83M,1.16,133.75,7.97%,"6,785,874"
https://finviz.com/quote.ashx?t=BKE&ty=c&p=d&b=1,BKE,0.75%,13.27%,55.92%,131.18%,40.97%,15.75%,3.32%,3.68%,3,503.37K,0.6,33.8,1.02%,"302,579"
https://finviz.com/quote.ashx?t=BLMN&ty=c&p=d&b=1,BLMN,4.63%,18.70%,29.68%,105.86%,2.69%,14.06%,3.41%,3.75%,2.1,2.28M,0.63,22.15,-0.67%,"1,436,686"
https://finviz.com/quote.ashx?t=BLNK&ty=c&p=d&b=1,BLNK,-15.72%,17.89%,417.50%,525.53%,1991.98%,3.74%,10.38%,14.44%,2.5,13.07M,0.53,44.35,-3.80%,"6,972,405"
https://finviz.com/quote.ashx?t=BOOM&ty=c&p=d&b=1,BOOM,-2.45%,15.42%,52.61%,74.35%,19.06%,17.71%,5.38%,4.76%,1.8,112.43K,0.83,50.91,5.43%,"93,384"
https://finviz.com/quote.ashx?t=BPYU&ty=c&p=d&b=1,BPYU,0.52%,14.92%,17.51%,54.16%,-10.94%,15.46%,2.17%,2.39%,-,724.24K,0.98,17.25,1.17%,"706,472"
https://finviz.com/quote.ashx?t=BTAI&ty=c&p=d&b=1,BTAI,-12.53%,-11.47%,6.05%,-23.17%,179.83%,2.42%,5.47%,6.81%,1.5,473.54K,1,47.32,-1.56%,"473,447"
https://finviz.com/quote.ashx?t=BYND&ty=c&p=d&b=1,BYND,-1.24%,1.54%,-20.92%,10.66%,18.59%,12.56%,5.38%,5.08%,3,4.16M,1.05,140.7,4.52%,"4,346,189"
https://finviz.com/quote.ashx?t=BZUN&ty=c&p=d&b=1,BZUN,-1.61%,-0.94%,-7.30%,-8.59%,2.78%,1.31%,3.78%,3.99%,1.9,1.07M,0.68,34.8,-0.49%,"725,785"
https://finviz.com/quote.ashx?t=CACC&ty=c&p=d&b=1,CACC,-8.48%,-3.16%,-3.78%,-29.37%,-29.24%,-6.05%,5.33%,3.85%,3.3,173.15K,1.07,325.19,-5.98%,"185,883"
https://finviz.com/quote.ashx?t=CAKE&ty=c&p=d&b=1,CAKE,3.70%,13.44%,33.00%,76.54%,6.94%,14.30%,3.90%,4.10%,2.7,1.09M,0.77,42.36,-1.44%,"839,692"
https://finviz.com/quote.ashx?t=CAR&ty=c&p=d&b=1,CAR,5.31%,15.89%,9.79%,41.60%,18.78%,10.05%,7.02%,5.50%,2.3,1.80M,0.44,41.05,-1.79%,"792,826"
https://finviz.com/quote.ashx?t=CBAT&ty=c&p=d&b=1,CBAT,19.67%,47.61%,169.46%,833.72%,882.86%,58.70%,15.68%,14.34%,-,10.95M,2.23,8.03,11.99%,"24,439,524"
https://finviz.com/quote.ashx?t=CBB&ty=c&p=d&b=1,CBB,-0.20%,0.13%,0.99%,2.28%,35.64%,-0.13%,0.24%,0.44%,3,535.51K,0.54,15.26,0.07%,"287,543"
https://finviz.com/quote.ashx?t=CFX&ty=c&p=d&b=1,CFX,2.14%,11.66%,31.48%,28.77%,8.56%,6.17%,2.95%,3.28%,2.1,1.03M,0.87,40.6,1.27%,"898,022"
https://finviz.com/quote.ashx?t=CHEF&ty=c&p=d&b=1,CHEF,5.53%,18.76%,81.83%,127.32%,-22.38%,11.41%,5.10%,5.25%,2.1,757.34K,0.74,28.62,0.28%,"558,597"
https://finviz.com/quote.ashx?t=CHRS&ty=c&p=d&b=1,CHRS,1.89%,6.57%,10.69%,1.72%,-2.08%,5.47%,3.30%,3.76%,1.9,896.81K,0.61,18.33,1.89%,"545,790"
https://finviz.com/quote.ashx?t=CHWY&ty=c&p=d&b=1,CHWY,-8.33%,-2.24%,62.49%,121.13%,274.88%,16.90%,5.27%,6.14%,1.9,4.28M,0.58,105.08,-0.02%,"2,496,132"
https://finviz.com/quote.ashx?t=CLDX&ty=c&p=d&b=1,CLDX,-1.00%,2.30%,6.65%,51.10%,663.95%,1.60%,6.93%,6.61%,2,621.56K,0.64,17.8,-0.73%,"394,909"
https://finviz.com/quote.ashx?t=CLF&ty=c&p=d&b=1,CLF,-9.64%,18.41%,105.26%,185.22%,120.13%,12.64%,6.52%,6.14%,2.6,12.44M,0.83,16.4,0.49%,"10,339,055"
https://finviz.com/quote.ashx?t=CLR&ty=c&p=d&b=1,CLR,-3.79%,14.30%,45.30%,9.88%,-37.72%,16.69%,5.02%,5.75%,2.8,2.98M,0.87,19.02,0.58%,"2,594,898"
https://finviz.com/quote.ashx?t=CLVS&ty=c&p=d&b=1,CLVS,12.08%,27.36%,21.68%,1.98%,-27.47%,39.17%,11.25%,8.07%,3.3,5.10M,1.7,6.68,4.70%,"8,649,076"
https://finviz.com/quote.ashx?t=CNK&ty=c&p=d&b=1,CNK,3.06%,21.34%,127.18%,55.61%,-39.44%,12.35%,6.32%,5.75%,2.4,9.57M,0.53,19.56,5.33%,"5,099,846"
https://finviz.com/quote.ashx?t=CODX&ty=c&p=d&b=1,CODX,15.75%,2.71%,-6.74%,-47.24%,479.31%,26.45%,6.77%,6.87%,2,1.99M,0.36,11.76,-0.84%,"720,760"
https://finviz.com/quote.ashx?t=COWN&ty=c&p=d&b=1,COWN,-9.37%,2.53%,45.19%,54.61%,62.37%,4.58%,5.41%,4.38%,1.7,475.33K,1.53,27.18,-1.95%,"727,847"
https://finviz.com/quote.ashx?t=CPE&ty=c&p=d&b=1,CPE,-19.87%,0.98%,186.48%,5.12%,-60.03%,1.44%,7.10%,7.43%,3,4.05M,0.74,13.35,-1.62%,"3,005,026"
https://finviz.com/quote.ashx?t=CRDF&ty=c&p=d&b=1,CRDF,-44.30%,-50.77%,-9.32%,133.91%,512.36%,-39.41%,18.11%,10.92%,2,1.42M,2.45,10.9,-4.13%,"3,467,176"
https://finviz.com/quote.ashx?t=CRON&ty=c&p=d&b=1,CRON,-5.42%,42.57%,80.81%,66.93%,27.54%,53.46%,4.99%,6.48%,-,6.32M,0.45,10.65,-0.84%,"2,815,797"
https://finviz.com/quote.ashx?t=CRSR&ty=c&p=d&b=1,CRSR,-4.76%,-7.74%,55.76%,-,-,5.96%,7.33%,8.50%,1.8,2.99M,3.41,38.38,4.49%,"10,179,588"
https://finviz.com/quote.ashx?t=CRTX&ty=c&p=d&b=1,CRTX,0.60%,4.12%,-33.51%,-25.68%,-45.48%,15.55%,6.02%,5.85%,2.2,225.53K,0.54,32.1,1.07%,"122,802"
https://finviz.com/quote.ashx?t=CVM&ty=c&p=d&b=1,CVM,5.79%,5.32%,11.42%,9.45%,0.92%,22.21%,5.71%,6.21%,2,565.55K,0.93,14.25,0.42%,"527,663"
https://finviz.com/quote.ashx?t=CVNA&ty=c&p=d&b=1,CVNA,-7.87%,-1.84%,42.26%,84.84%,229.72%,14.16%,4.35%,5.52%,2.2,1.65M,0.6,273.47,0.34%,"981,281"
https://finviz.com/quote.ashx?t=CWH&ty=c&p=d&b=1,CWH,11.75%,29.50%,32.12%,4.29%,124.65%,38.00%,6.58%,6.01%,2.4,1.85M,0.81,35.95,2.86%,"1,494,905"
https://finviz.com/quote.ashx?t=CYRX&ty=c&p=d&b=1,CYRX,21.92%,61.51%,88.46%,133.30%,315.96%,87.12%,12.05%,8.29%,1.6,763.26K,3.4,82.11,11.34%,"2,598,414"
https://finviz.com/quote.ashx?t=DADA&ty=c&p=d&b=1,DADA,7.95%,18.82%,26.26%,75.65%,-,23.15%,7.77%,7.72%,1.7,2.46M,0.63,44.95,4.75%,"1,542,295"
https://finviz.com/quote.ashx?t=DDD&ty=c&p=d&b=1,DDD,7.72%,212.60%,358.51%,407.06%,193.45%,229.01%,12.15%,18.70%,3,11.53M,1.37,34.48,9.88%,"15,801,917"
https://finviz.com/quote.ashx?t=DDS&ty=c&p=d&b=1,DDS,18.10%,53.70%,73.37%,218.06%,14.21%,26.57%,8.43%,8.20%,3.6,365.60K,2.83,79.8,3.70%,"1,034,266"
https://finviz.com/quote.ashx?t=DKS&ty=c&p=d&b=1,DKS,1.55%,27.71%,13.17%,54.19%,45.06%,21.19%,2.90%,3.22%,2.5,2.47M,0.72,68.12,0.50%,"1,779,637"
https://finviz.com/quote.ashx?t=DMTK&ty=c&p=d&b=1,DMTK,8.19%,148.81%,263.73%,317.51%,229.39%,32.31%,8.06%,14.28%,1.7,645.46K,2.08,42.92,0.56%,"1,342,037"
https://finviz.com/quote.ashx?t=DVAX&ty=c&p=d&b=1,DVAX,1.56%,-0.19%,25.18%,-48.42%,-9.06%,17.30%,5.37%,6.63%,1.7,2.91M,1.04,5.22,3.57%,"3,012,539"
https://finviz.com/quote.ashx?t=EBIX&ty=c&p=d&b=1,EBIX,5.36%,27.71%,136.18%,101.28%,26.26%,20.17%,4.90%,4.53%,2,315.89K,0.75,45.63,1.33%,"237,269"
https://finviz.com/quote.ashx?t=EDIT&ty=c&p=d&b=1,EDIT,-13.38%,-21.40%,117.24%,116.82%,126.99%,-6.20%,8.72%,11.04%,2.7,2.38M,1.38,65.76,3.09%,"3,270,308"
https://finviz.com/quote.ashx?t=EGHT&ty=c&p=d&b=1,EGHT,2.04%,19.12%,124.55%,125.36%,87.41%,8.79%,4.94%,5.05%,2.1,2.04M,0.7,37.5,1.57%,"1,439,810"
https://finviz.com/quote.ashx?t=ELY&ty=c&p=d&b=1,ELY,7.02%,21.13%,47.63%,58.37%,32.98%,20.57%,4.00%,3.61%,1.9,2.59M,0.52,28.95,1.19%,"1,342,690"
https://finviz.com/quote.ashx?t=EOSE&ty=c&p=d&b=1,EOSE,-4.40%,55.39%,134.57%,126.64%,-,12.67%,11.08%,16.42%,2,1.51M,0.83,23.48,-5.89%,"1,254,546"
https://finviz.com/quote.ashx?t=ESPR&ty=c&p=d&b=1,ESPR,-3.07%,-9.40%,-19.57%,-41.19%,-49.98%,-0.27%,5.20%,6.52%,1.9,773.90K,1.2,25.93,1.89%,"928,544"
https://finviz.com/quote.ashx?t=EVBG&ty=c&p=d&b=1,EVBG,-1.38%,-5.76%,13.48%,4.97%,62.51%,-5.02%,4.08%,4.47%,1.7,435.91K,0.64,141.59,-1.94%,"278,703"
https://finviz.com/quote.ashx?t=EVER&ty=c&p=d&b=1,EVER,2.83%,6.22%,7.49%,-15.86%,3.41%,8.78%,4.49%,4.47%,1.7,378.65K,0.71,40.63,0.69%,"267,765"
https://finviz.com/quote.ashx?t=EVI&ty=c&p=d&b=1,EVI,-3.53%,15.58%,8.44%,40.39%,29.28%,8.62%,5.48%,6.31%,-,17.27K,0.98,32.5,2.98%,"16,949"
https://finviz.com/quote.ashx?t=FCEL&ty=c&p=d&b=1,FCEL,3.01%,93.28%,731.65%,586.74%,930.11%,62.31%,11.88%,14.13%,3.1,67.55M,0.58,18.13,4.86%,"39,338,066"
https://finviz.com/quote.ashx?t=FIT&ty=c&p=d&b=1,FIT,-0.99%,-3.05%,0.14%,1.30%,6.39%,2.79%,0.96%,1.06%,3.2,4.14M,0,6.99,0.00%,0
https://finviz.com/quote.ashx?t=FIZZ&ty=c&p=d&b=1,FIZZ,12.20%,14.81%,19.12%,55.94%,128.75%,15.95%,4.53%,4.02%,3.7,344.28K,1.09,98.44,3.89%,"375,557"
https://finviz.com/quote.ashx?t=FLGT&ty=c&p=d&b=1,FLGT,0.25%,39.26%,96.20%,237.26%,402.10%,32.90%,10.37%,10.52%,2.5,1.81M,0.61,69.24,4.54%,"1,110,712"
https://finviz.com/quote.ashx?t=FLWS&ty=c&p=d&b=1,FLWS,5.67%,22.14%,29.21%,25.18%,113.55%,21.81%,4.74%,4.76%,1.9,918.15K,1.1,31.67,-0.41%,"1,008,556"
https://finviz.com/quote.ashx?t=FLXN&ty=c&p=d&b=1,FLXN,-11.84%,0.44%,-2.12%,-9.63%,-35.87%,0.00%,6.73%,6.44%,1.8,504.02K,1.91,11.54,1.05%,"961,443"
